Noise Events,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,destinos? El que hace mas ruido es el que va a antofa,se requieren los datos de ruido de los puntos de medicion del los aeropuertos del año 2024,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Jardines del Sur,,,,,,,,,,,,,,,
"terminales (mp2, hay 3 estaciones), la dos es la mas importantes",dia y la hora en la que se registró el evento,nivel maximo de decibeles,,,,,"cuando el viento es mucho , el sensor se bloquea, cuando hay mas viento que 8 metros por segundo.",,,,,,,relacion entre el radar y la aeronave,tipo de aeronave
NMT,TLASmax,LASmax,SEL,Leq,LAZ,EPNL,Temperature [°C],A/D,Runway,Flight,Airline,Airline (Name),From/To,Callsign,Aircraft Type
,,,,,,,,,,,,,,,
MP02,15/01/2024 21:07:06,70.4,79.9,65.8,71.2,80.6,21.9,Departure,17R,LAN184,LAN,LAN Airlines,SCAR,LAN184,A321
MP02,15/01/2024 21:11:09,72.1,86.4,68,78.6,86.5,21.8,Departure,17R,LPE2692,LPE,LAN Peru,SPJC,LPE2692,A320
MP02,15/01/2024 21:24:51,71.8,80.9,65.7,72,80.2,21.2,Departure,17R,JAT197,JAT,JAT Airways,SCTE,JAT197,A320
MP02,15/01/2024 21:28:10,65.9,73.3,61.8,63.7,74.2,21,Departure,17R,LAN471,LAN,LAN Airlines,SAEZ,LAN471,A320
MP02,15/01/2024 23:02:39,68.7,79.3,64.4,71.9,80.4,17.5,Departure,17R,UAL846,UAL,United Airlines,KIAH,UAL846,B763
MP02,15/01/2024 23:52:40,77.2,86,71.3,76.7,86.1,16.5,Departure,17L,LAN1242,LAN,LAN Airlines,SCFA,LAN1242,A321
MP02,15/01/2024 23:57:32,78.5,87.6,73.5,77.3,88.8,16.4,Departure,17L,LAN500,LAN,LAN Airlines,KMIA,LAN500,B788
MP02,16/01/2024 0:02:51,75.6,84.3,70.5,74.7,84.7,16.3,Departure,17L,JES3885,JES,,SAEZ,JES3885,A320
MP02,16/01/2024 0:08:20,79.4,87.8,72.9,78.4,88.5,16.1,Departure,17L,AAL940,AAL,American Airlines,KDFW,AAL940,B788
MP02,16/01/2024 0:18:01,72.7,82.5,69.3,72.7,84.4,15.8,Departure,17L,SKU604,SKU,Sky Airline,SBGR,SKU604,A20N
MP02,16/01/2024 0:27:46,79.1,88.6,74.3,77.8,90.3,15.4,Departure,17L,LAN602,LAN,LAN Airlines,KLAX,LAN602,B789
MP02,16/01/2024 0:55:46,76.6,86.4,72.9,75.8,88.1,14.5,Departure,17L,LAN578,LAN,LAN Airlines,SKBO,LAN578,B788
MP02,16/01/2024 1:18:59,75.9,85.4,71.4,75.5,86.1,13.8,Departure,17L,LAN1992,LAN,LAN Airlines,SKBO,LAN1992,A320
MP02,16/01/2024 1:23:05,78.5,88.1,74.7,77.2,89.4,13.7,Departure,17L,LAN801,LAN,LAN Airlines,NZAA,LAN801,B789
MP02,16/01/2024 1:26:20,69.4,78.9,65.9,69.8,80.2,13.5,Departure,17L,SKX5577,SKX,,SAEZ,SKX5577,A20N
